EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:49:42	0	0.0200	0.022562078300981524	0.06372924894094467	0.8841	1.0	0.9385	0.8689EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:55:08	0	0.0200	0.023937791851785333	0.056725338101387024	0.9242	1.0	0.9606	0.918
2	15:01:32	0	0.0200	0.0052516322426056005	0.010877621360123158	0.9839	1.0	0.9919	0.9836
2	15:06:28	0	0.0200	0.0073395454670820825	0.028107287362217903	0.9242	1.0	0.9606	0.918
3	15:12:44	0	0.0200	0.0008107712105598549	0.00032373820431530476	1.0	1.0	1.0	1.0
3	15:17:25	0	0.0200	0.0011580722045923207	0.00025408423971384764	1.0	1.0	1.0	1.0
4	15:22:44	0	0.0200	0.0003692070465986135	4.867699681199156e-05	1.0	1.0	1.0	1.0
4	15:27:34	1	0.0200	0.00028837647614737025	0.016728689894080162	0.9839	1.0	0.9919	0.9836
5	15:33:16	0	0.0200	1.7711876960715086e-05	2.6523648557486013e-05	1.0	1.0	1.0	1.0
5	15:38:36	2	0.0200	0.0008330015214035411	0.0014362469082698226	1.0	1.0	1.0	1.0
6	15:45:17	0	0.0200	8.534894495899283e-05	2.5117054974543862e-05	1.0	1.0	1.0	1.0
6	15:49:56	3	0.0200	2.9133684297423725e-05	0.00042917547398246825	1.0	1.0	1.0	1.0
7	15:55:56	1	0.0200	0.001123297927551527	4.675098170991987e-05	1.0	1.0	1.0	1.0
7	16:01:09	0	0.0200	3.557965609322933e-05	4.0243940020445734e-05	1.0	1.0	1.0	1.0
8	16:07:18	2	0.0200	9.922566181502948e-06	0.00012593578139785677	1.0	1.0	1.0	1.0
8	16:12:09	1	0.0200	0.0004647780861360034	4.072752926731482e-05	1.0	1.0	1.0	1.0
9	16:18:35	0	0.0200	0.0002666316383677618	1.3288906302477699e-05	1.0	1.0	1.0	1.0
9	16:24:45	0	0.0200	9.891606891969961e-06	1.986236748052761e-05	1.0	1.0	1.0	1.0
10	16:30:42	0	0.0200	7.418470873323886e-06	1.1224369700357784e-05	1.0	1.0	1.0	1.0
10	16:33:38	0	0.0200	1.5124774095388615e-05	1.9020564650418237e-05	1.0	1.0	1.0	1.0